央视频道,#genre#
黑帮片,http://159.75.85.63:35455/huya/11336719
丧尸片,http://159.75.85.63:35455/huya/21059578
灾难片,http://159.75.85.63:35455/huya/11602075
谍战片,http://159.75.85.63:35455/huya/21059587
战争片,http://159.75.85.63:35455/huya/21059574
犯罪片,http://159.75.85.63:35455/huya/11352974
古装片,http://159.75.85.63:35455/huya/11336590
高分动作,http://159.75.85.63:35455/huya/11352884
动作电影,http://159.75.85.63:35455/huya/11602077
搞笑喜剧,http://159.75.85.63:35455/huya/11342423
喜剧专场,http://159.75.85.63:35455/huya/11602044
欢笑影院,http://159.75.85.63:35455/huya/11352894
不挤影院,http://159.75.85.63:35455/huya/11352897
国产悬疑,http://159.75.85.63:35455/huya/11342395
快意江湖,http://159.75.85.63:35455/huya/11342435
黑帮斗争,http://159.75.85.63:35455/huya/11342419
古墓系列,http://159.75.85.63:35455/huya/11352913
嫣然影厅,http://159.75.85.63:35455/huya/11601977
女神系列,http://159.75.85.63:35455/huya/11336571
经典女神,http://159.75.85.63:35455/huya/11352909
许氏三杰,http://159.75.85.63:35455/huya/11602033
经典港片,http://159.75.85.63:35455/huya/11352965
镖行天下,http://159.75.85.63:35455/huya/11352969
高能反转,http://159.75.85.63:35455/huya/11352887
喜乐影院,http://159.75.85.63:35455/huya/21059580
蘑菇影厅,http://159.75.85.63:35455/huya/11601981
搞笑恐怖,http://159.75.85.63:35455/huya/11601960
死神来了,http://159.75.85.63:35455/huya/11352903
变形金刚,http://159.75.85.63:35455/huya/21059596
怪兽系列,http://159.75.85.63:35455/huya/21059554
陈翔六点半,http://159.75.85.63:35455/huya/11274154
老三国,http://159.75.85.63:35455/huya/11602081
新三国,http://159.75.85.63:35455/huya/11352944
新水浒,http://159.75.85.63:35455/huya/11342384
纪晓岚,http://159.75.85.63:35455/huya/11342396
庆余年,http://159.75.85.63:35455/huya/11352960
雍正王朝,http://159.75.85.63:35455/huya/11342439
士兵突击,http://159.75.85.63:35455/huya/11342430
爱情公寓,http://159.75.85.63:35455/huya/11336726
家有儿女,http://159.75.85.63:35455/huya/11352872
武林外传,http://159.75.85.63:35455/huya/21059598
地下交通站,http://159.75.85.63:35455/huya/11342433
邻里一家亲,http://159.75.85.63:35455/huya/11342426

历年春晚,#genre#
春晚1983,https://alimov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5MTRfNDAzMDAxOTlfNjYyNzMxNjcwMjBfMF8z_b_Beb3bda599f76c60c463c433ca7460153.mp4
春晚1984,https://alimov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5NTRfNDAzMDAxOTlfNjYyNzMyMzg3MTRfMF8z_b_B192356dadbc90d207ba16964d4c2914c.mp4
春晚1985,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4
春晚1986,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDRfNDAzMDAxOTlfNjYyNzMyNTU0OTRfMF8z_b_B24f7d19f1132fa5d7f502f8377ad5567.mp4
